id	chr	start	end	tss
ABHD10	3	111697857	111712210	111697857
ABHD11	7	73150424	73153197	73153197
ABHD12	20	25275379	25371619	25371619
ABHD12B	14	51338878	51371688	51338878
ABHD13	13	108870727	108886603	108870727
ABHD14A	3	52005442	52015212	52005442
ABHD14A-ACY1	3	52009066	52023199	52009066
ABHD14B	3	52002526	52017425	52017425
ABHD15	17	27887565	27894155	27894155
ABHD16A	6	31654726	31671221	31671221
ABHD16B	20	62492566	62494341	62492566
ABHD17A	19	1876809	1885546	1885546
ABHD17B	9	74477368	74525847	74525847
ABHD17C	15	80972025	81047962	80972025
ABHD2	15	89630690	89745591	89630690
ABHD3	18	19230858	19284766	19284766
ABHD4	14	23067146	23081265	23067146
ABHD5	3	43731605	43775863	43731605
ABHD6	3	58223233	58281420	58223233
ABHD8	19	17402940	17421045	17421045
ABI1	10	27035522	27150016	27150016
ABI2	2	204192942	204312446	204192942
ABI3	17	47287589	47300587	47287589
ABI3BP	3	100468000	100712359	100712359
ABL1	9	133589333	133763062	133589333
ABL2	1	179068462	179198819	179198819
ABLIM1	10	116190872	116444762	116444762
ABLIM2	4	7967039	8160559	8160559
ABLIM3	5	148521046	148640105	148521046
ABR	17	906758	1132315	1132315
ABRA	8	107771711	107782473	107782473
ABRACL	6	139349819	139364439	139349819
ABT1	6	26597180	26600278	26597180
ABTB1	3	127391778	127399768	127391778
ABTB2	11	34172535	34379555	34379555
ACAA1	3	38144620	38178733	38178733
ACAA2	18	47309869	47340330	47340330
ACACA	17	35441923	35766909	35766909
ACACB	12	109554400	109706031	109554400
ACAD10	12	112123857	112194903	112123857
ACAD11	3	132276982	132379567	132379567
ACAD8	11	134123389	134135749	134123389
ACAD9	3	128598439	128634910	128598439
ACADL	2	211052663	211090215	211090215
ACADM	1	76190036	76253260	76190036
ACADS	12	121163538	121177811	121163538
ACADSB	10	124768495	124817827	124768495
ACADVL	17	7120444	7128592	7120444
ACAN	15	89346674	89418585	89346674
ACAP1	17	7239848	7254797	7239848
ACAP2	3	194995465	195163807	195163807
ACAP3	1	1227756	1244989	1243398
ACAT1	11	107992243	108018503	107992243
ACAT2	6	160181360	160200144	160181360
ACBD3	1	226332380	226374431	226374431
ACBD4	17	43209967	43221548	43209967
ACBD5	10	27484146	27531059	27531059
ACBD6	1	180244515	180472089	180472089
ACBD7	10	15119522	15130775	15130775
ACCS	11	44087475	44105772	44087475
ACCSL	11	44069531	44081527	44069531
ACD	16	67691415	67694713	67694713
ACE	17	61554422	61599205	61554422
ACE2	X	15579156	15620271	15620271
ACER1	19	6306153	6333640	6333640
ACER2	9	19408925	19452018	19408925
ACER3	11	76571911	76737841	76571911
ACHE	7	100487615	100494594	100494594
ACIN1	14	23527773	23564823	23564823
ACKR2	3	42846244	42929466	42846244
ACKR3	2	237476430	237491001	237476430
ACKR4	3	132316081	132337811	132316081
ACLY	17	40023161	40086795	40086795
ACMSD	2	135596117	135659604	135596117
ACN9	7	96745902	96811075	96745902
ACO1	9	32384618	32454767	32384618
ACO2	22	41865129	41924993	41865129
ACOT1	14	74003818	74010498	74003818
ACOT11	1	55007930	55104865	55007930
ACOT12	5	80625824	80689998	80689998
ACOT13	6	24667263	24705293	24667263
ACOT2	14	74034324	74042357	74034324
ACOT4	14	74058410	74063200	74058410
ACOT6	14	74077649	74086592	74077649
ACOT7	1	6324329	6454451	6454451
ACOT8	20	44470360	44486045	44486045
ACOT9	X	23720370	23784592	23784592
ACOX1	17	73937588	73975515	73975515
ACOX2	3	58490863	58523046	58523046
ACOX3	4	8368009	8442450	8442450
ACOXL	2	111490150	111875799	111490150
ACP1	2	264140	278283	264140
ACP2	11	47260853	47270457	47270457
ACP5	19	11685475	11689823	11689823
ACP6	1	147101453	147142618	147142618
ACPL2	3	140947568	141013748	140947568
ACPP	3	132036211	132087142	132036211
ACPT	19	51293672	51298481	51293672
ACR	22	51176624	51183762	51176624
ACRBP	12	6747241	6756626	6756626
ACRC	X	70798261	70833433	70798261
ACRV1	11	125541417	125551018	125551018
ACSBG1	15	78459810	78538030	78538030
ACSBG2	19	6135258	6193112	6135258
ACSF2	17	48503519	48552206	48503519
ACSF3	16	89154783	89222254	89154783
ACSL1	4	185676749	185747972	185747972
ACSL3	2	223725652	223809357	223725652
ACSL4	X	108867473	108976632	108976632
ACSL5	10	114133776	114188138	114133776
ACSL6	5	131142683	131347936	131347936
ACSM1	16	20634559	20710212	20710212
ACSM2A	16	20462783	20498991	20462783
ACSM2B	16	20547548	20587749	20587749
ACSM3	16	20621565	20808903	20621565
ACSM4	12	7456880	7481320	7456880
ACSM5	16	20420856	20452658	20420856
ACSS1	20	24986868	25039616	25039616
ACSS2	20	33459949	33515769	33459949
ACSS3	12	81331594	81650533	81331594
ACTA1	1	229566992	229569845	229569845
ACTA2	10	90694831	90751147	90751147
ACTB	7	5566782	5603415	5603415
ACTBL2	5	56775846	56778636	56778636
ACTC1	15	35080297	35088340	35088340
ACTG1	17	79476997	79490873	79490873
ACTG2	2	74119441	74146992	74119441
ACTL10	20	32254304	32256331	32254304
ACTL6A	3	179280668	179306196	179280668
ACTL6B	7	100240720	100254084	100254084
ACTL7A	9	111624603	111626035	111624603
ACTL7B	9	111616871	111619239	111619239
ACTL8	1	18081808	18153558	18081808
ACTL9	19	8807751	8809172	8809172
ACTN1	14	69340860	69446157	69446157
ACTN2	1	236849754	236927931	236849754
ACTN4	19	39138289	39222223	39138310
ACTR10	14	58666798	58701750	58666798
ACTR1A	10	104238986	104262482	104262482
ACTR1B	2	98272431	98280570	98280570
ACTR2	2	65454887	65498387	65454887
ACTR3	2	114647537	114720173	114647537
ACTR3B	7	152456834	152552463	152456834
ACTR3C	7	149941005	150020814	150020814
ACTR5	20	37377085	37400834	37377085
ACTR6	12	100592900	100635643	100592900
ACTR8	3	53901093	53916229	53916229
ACTRT1	X	127184943	127186382	127186382
ACTRT2	1	2938046	2939465	2938046
ACTRT3	3	169484709	169487683	169487683
ACVR1	2	158592958	158732374	158732374
ACVR1B	12	52345451	52390862	52345451
ACVR1C	2	158383279	158485517	158485517
ACVR2A	2	148602086	148688393	148602086
ACVR2B	3	38495342	38534633	38495342
ACVRL1	12	52300692	52317145	52300692
ACY1	3	52009066	52023213	52009066
ACY3	11	67410026	67418130	67418130
ACYP1	14	75519924	75536186	75536186
ACYP2	2	54197975	54532437	54197975
ADA	20	43248163	43280874	43280874
ADAD1	4	123300121	123350957	123300121
ADAD2	16	84224744	84230774	84224744
ADAL	15	43622872	43646096	43622872
ADAM10	15	58887403	59042177	59042177
ADAM11	17	42836399	42859214	42836399
ADAM12	10	127700950	128077024	128077024
ADAM15	1	155023042	155035252	155023042
ADAM17	2	9628615	9695921	9695921
ADAM18	8	39442008	39587583	39442008
ADAM19	5	156822542	157002783	157002783
ADAM2	8	39601254	39695808	39695808
ADAM20	14	70989075	71001732	71001732
ADAM21	14	70918874	70926622	70918874
ADAM22	7	87563458	87832204	87563458
ADAM23	2	207308263	207485851	207308263
ADAM28	8	24151553	24216531	24151553
ADAM29	4	175750819	175899331	175750819
ADAM30	1	120436156	120439118	120439118
ADAM32	8	38964509	39142430	38964509
ADAM33	20	3648612	3662893	3662893
ADAM7	8	24298443	24384483	24298443
ADAM8	10	135075907	135090372	135090372
ADAM9	8	38854388	38962663	38854388
ADAMDEC1	8	24241798	24263526	24241798
ADAMTS1	21	28208066	28217728	28217728
ADAMTS10	19	8645126	8675620	8675585
ADAMTS12	5	33523640	33892297	33892297
ADAMTS13	9	136279478	136324508	136279478
ADAMTS14	10	72432559	72522197	72432559
ADAMTS15	11	130318869	130346532	130318869
ADAMTS16	5	5140443	5320417	5140443
ADAMTS17	15	100511794	100882210	100882210
ADAMTS18	16	77281710	77469011	77469011
ADAMTS19	5	128795958	129074376	128795958
ADAMTS2	5	178537852	178772431	178772431
ADAMTS20	12	43747669	43945724	43945724
ADAMTS3	4	73146686	73434516	73434516
ADAMTS4	1	161154098	161168846	161168846
ADAMTS5	21	28290231	28338832	28338832
ADAMTS6	5	64444563	64777747	64777747
ADAMTS7	15	79051545	79103773	79103773
ADAMTS8	11	130274820	130298888	130298888
ADAMTS9	3	64501333	64673676	64673676
ADAMTSL1	9	18473892	18910948	18473892
ADAMTSL2	9	136397286	136440641	136397286
ADAMTSL3	15	84322838	84708594	84322838
ADAMTSL4	1	150521884	150533413	150521884
ADAMTSL4-AS1	1	150533480	150533969	150533969
ADAMTSL5	19	1505017	1513603	1513603
ADAP1	7	937540	995043	995043
ADAP2	17	29233362	29286340	29233362
ADAR	1	154554538	154600475	154600475
ADARB1	21	46493768	46646478	46493768
ADARB2	10	1228073	1779670	1779670
ADAT1	16	75630879	75657198	75657198
ADAT2	6	143743969	143771810	143771810
ADAT3	19	1905377	1913444	1905377
ADC	1	33546705	33586131	33546705
ADCK1	14	78266426	78401355	78266426
ADCK2	7	140372953	140396061	140372953
ADCK3	1	227085237	227175246	227085237
ADCK4	19	41197434	41224112	41224112
ADCK5	8	145596790	145618457	145596790
ADCY1	7	45613739	45762715	45613739
ADCY10	1	167778625	167883453	167883453
ADCY2	5	7396321	7830194	7396321
ADCY3	2	25042038	25142708	25142708
ADCY4	14	24787555	24804299	24804277
ADCY5	3	123001143	123168605	123168605
ADCY6	12	49159975	49182820	49182820
ADCY7	16	50280048	50352046	50280048
ADCY8	8	131792547	132054672	132054672
ADCY9	16	4003388	4166186	4166186
ADCYAP1	18	904944	912173	904944
ADCYAP1R1	7	31092076	31151089	31092076
ADD1	4	2845584	2931803	2845584
ADD2	2	70834750	70995357	70995357
ADD3	10	111756126	111895323	111756126
ADGB	6	146920101	147136598	146920101
ADH1A	4	100197524	100212185	100212185
ADH1B	4	100226121	100242558	100242558
ADH4	4	100044808	100078949	100078949
ADH5	4	99992132	100009952	100009952
ADH6	4	100123795	100140694	100140694
ADH7	4	100333418	100356894	100356894
ADHFE1	8	67342420	67383836	67342420
ADI1	2	3501132	3523507	3523507
ADIG	20	37209838	37217106	37209838
ADIPOQ	3	186560463	186576252	186560463
ADIPOR1	1	202909951	202927700	202927700
ADIPOR2	12	1797740	1897844	1797740
ADIRF	10	88727949	88743691	88727949
ADK	10	75910960	76469061	75910960
ADM	11	10326227	10328944	10326227
ADM2	22	50919985	50924869	50919985
ADM5	19	50191921	50193832	50191921
ADNP	20	49505585	49547958	49547958
ADNP2	18	77866915	77905406	77866915
ADO	10	64564516	64568238	64564516
ADORA1	1	203059782	203136533	203059782
ADORA2A	22	24813847	24838328	24813847
ADORA2B	17	15848231	15879060	15848231
ADORA3	1	112025970	112106584	112106584
ADPGK	15	73043710	73078187	73078187
ADPRH	3	119298115	119308792	119298115
ADPRHL1	13	114076260	114107839	114107839
ADPRHL2	1	36554476	36559533	36554476
ADPRM	17	10600911	10614550	10600911
ADRA1A	8	26605667	26724790	26724790
ADRA1B	5	159343790	159399551	159343790
ADRA1D	20	4201329	4229721	4229721
ADRA2A	10	112836790	112840658	112836790
ADRA2B	2	96778707	96781984	96781984
ADRA2C	4	3768075	3770251	3768075
ADRB1	10	115803806	115806667	115803806
ADRB2	5	148206156	148208196	148206156
ADRB3	8	37820516	37824483	37824483
ADRBK1	11	67033881	67054027	67033881
ADRBK2	22	25960816	26125261	25960816
ADRM1	20	60877149	60883918	60877149
ADSL	22	40742507	40786467	40742507
ADSS	1	244571796	244615436	244615436
ADSSL1	14	105190523	105213662	105190523
ADTRP	6	11712287	11807279	11807279
AEBP1	7	44143960	44154161	44143960
AEBP2	12	19556979	19873735	19556979
AEN	15	89164527	89175513	89164527
AES	19	3052908	3063105	3063105
AFAP1	4	7760441	7941653	7941653
AFAP1L1	5	148651434	148721365	148651434
AFAP1L2	10	116054583	116164515	116164515
AFF1	4	87856154	88062206	87856154
AFF2	X	147582139	148082193	147582139
AFF3	2	100162323	100759201	100759201
AFF4	5	132211071	132299326	132299326
AFG3L2	18	12328943	12377313	12377313
AFM	4	74347400	74369691	74347400
AFMID	17	76183398	76203782	76183398
AFP	4	74296855	74321891	74296855
AFTPH	2	64751465	64820139	64751465
AGA	4	178351924	178363657	178363657
AGAP1	2	236402733	237040444	236402733
AGAP10	10	47191844	47239738	47239738
AGAP2	12	58118980	58135940	58135940
AGAP2-AS1	12	58120054	58122139	58120054
AGAP3	7	150782918	150841523	150782918
AGAP4	10	46321042	46349323	46349323
AGAP5	10	75434033	75457639	75457639
AGAP6	10	51748078	51770259	51748078
AGAP7	10	51464162	51486327	51486327
AGAP8	10	51224681	51371321	51371321
AGAP9	10	48189612	48237508	48189612
AGBL1	15	86685227	87572283	86685227
AGBL2	11	47681143	47736941	47736941
AGBL3	7	134671259	134832715	134671259
AGBL4	1	48998527	50489585	50489585
AGBL5	2	27265232	27293490	27265232
AGER	6	32148745	32152101	32152101
AGFG1	2	228336868	228425930	228336868
AGFG2	7	100136834	100165842	100136834
AGGF1	5	76325076	76361059	76325076
AGK	7	141250989	141355044	141250989
AGL	1	100315640	100389579	100315640
AGMAT	1	15898848	15911605	15911605
AGMO	7	15239943	15601640	15601640
AGO1	1	36335409	36395211	36335409
AGO2	8	141541264	141645718	141645718
AGO3	1	36396319	36538101	36396319
AGO4	1	36273773	36323491	36273773
AGPAT1	6	32135989	32145873	32145873
AGPAT2	9	139567595	139581875	139581875
AGPAT3	21	45285067	45406417	45285067
AGPAT4	6	161551011	161695093	161695093
AGPAT5	8	6565878	6617184	6565878
AGPAT6	8	41434706	41482520	41434706
AGPAT9	4	84457067	84527028	84457067
AGPS	2	178257372	178408564	178257372
AGR2	7	16831435	16873057	16873057
AGR3	7	16899029	16921611	16921611
AGRN	1	955503	991496	955503
AGRP	16	67516474	67517716	67517716
AGT	1	230838269	230850043	230850043
AGTPBP1	9	88161455	88356944	88356944
AGTR1	3	148415571	148460795	148415571
AGTR2	X	115301975	115306225	115301975
AGTRAP	1	11796141	11814859	11796141
AGXT	2	241807896	241819919	241807896
AGXT2	5	34998206	35048198	35048198
AHCTF1	1	247002400	247095280	247095280
AHCY	20	32868074	32899608	32899608
AHCYL1	1	110527308	110566357	110527308
AHCYL2	7	128864864	129070052	128864864
AHDC1	1	27860546	27930942	27930942
AHI1	6	135604670	135818914	135818914
AHNAK	11	62201016	62323707	62323707
AHNAK2	14	105403581	105444694	105444694
AHR	7	17338246	17385776	17338246
AHRR	5	304291	438406	304291
AHSA1	14	77924213	77935817	77924213
AHSA2	2	61404553	61418338	61404553
AHSG	3	186330712	186339107	186330712
AHSP	16	31539185	31540124	31539185
AICDA	12	8754762	8765467	8765467
AIDA	1	222841355	222886552	222886552
AIF1	6	31582961	31584798	31582961
AIF1L	9	133971863	133998539	133971863
AIFM1	X	129263337	129299861	129299861
AIFM2	10	71857979	71892690	71892690
AIFM3	22	21319396	21335649	21319396
AIG1	6	143381633	143661441	143381633
AIM1	6	106959730	107018326	106959730
AIM1L	1	26648350	26680621	26680621
AIM2	1	159032274	159116886	159116886
AIMP1	4	107236701	107270383	107236701
AIMP2	7	6048876	6063465	6048876
AIP	11	67250512	67258574	67250512
AIPL1	17	6297013	6338519	6338519
AIRE	21	45705721	45718531	45705763
AJAP1	1	4714792	4852594	4714792
AJUBA	14	23440383	23451851	23451851
AK1	9	130628759	130640022	130640022
AK2	1	33473585	33546597	33546597
AK3	9	4711155	4742043	4742043
AK4	1	65613232	65697828	65613232
AK5	1	77747736	78025651	77747736
AK7	14	96858448	96955764	96858448
AK8	9	135600965	135754164	135754164
AK9	6	109814059	110012420	110012420
AKAP1	17	55162453	55198710	55162453
AKAP10	17	19807615	19881656	19881656
AKAP11	13	42846289	42897396	42846289
AKAP12	6	151561134	151679692	151561134
AKAP13	15	85923802	86292586	85923802
AKAP14	X	119029800	119054679	119029800
AKAP17A	X	1710486	1721407	1710486
AKAP2	9	112542769	112934792	112542769
AKAP3	12	4724674	4758213	4758213
AKAP4	X	49955406	49965664	49965664
AKAP5	14	64932217	64941221	64932217
AKAP6	14	32798479	33300567	32798479
AKAP7	6	131456806	131604675	131456806
AKAP8	19	15464196	15490609	15490609
AKAP8L	19	15490859	15529952	15529952
AKAP9	7	91570181	91739987	91570181
AKIP1	11	8932686	8941631	8932686
AKIRIN1	1	39456895	39471731	39456895
AKIRIN2	6	88384790	88411927	88411927
AKNA	9	117096436	117156685	117156685
AKNAD1	1	109358520	109506106	109506106
AKR1A1	1	46016215	46035721	46016215
AKR1B1	7	134127102	134144036	134144004
AKR1B10	7	134212344	134226160	134212344
AKR1B15	7	134233888	134264627	134233888
AKR1C1	10	4934796	5025475	4934796
AKR1C2	10	5029967	5060223	5060223
AKR1C3	10	5077546	5149878	5077546
AKR1C4	10	5237425	5260912	5237426
AKR1CL1	10	5196335	5244449	5244449
AKR1D1	7	137687070	137802732	137687070
AKR1E2	10	4828821	4890254	4828821
AKR7A2	1	19630459	19638640	19638640
AKR7A3	1	19609052	19615744	19615744
AKT1	14	105235686	105262088	105262088
AKT1S1	19	50372295	50381716	50381716
AKT2	19	40736224	40791443	40791443
AKT3	1	243651535	244014381	244014381
AKTIP	16	53524952	53538323	53538323
ALAD	9	116148597	116163613	116163613
ALAS1	3	52232102	52248343	52232102
ALAS2	X	55035488	55057497	55057497
ALB	4	74262831	74287129	74262831
ALCAM	3	105085753	105295744	105085753
ALDH16A1	19	49956426	49974305	49956426
ALDH18A1	10	97365696	97416463	97416463
ALDH1A1	9	75515578	75695358	75695358
ALDH1A2	15	58245622	58790065	58790065
ALDH1A3	15	101417919	101456831	101417919
ALDH1B1	9	38392661	38398658	38392661
ALDH1L1	3	125822412	125916837	125916837
ALDH1L2	12	105413568	105478355	105478355
ALDH2	12	112204691	112247782	112204691
ALDH3A1	17	19641297	19652256	19652256
ALDH3A2	17	19551449	19580911	19551449
ALDH3B1	11	67776048	67796744	67776048
ALDH3B2	11	67429633	67448671	67448671
ALDH4A1	1	19197926	19229275	19229275
ALDH5A1	6	24495080	24537435	24495080
ALDH6A1	14	74523553	74551196	74551196
ALDH7A1	5	125877533	125931110	125931110
ALDH8A1	6	135238528	135271260	135271260
ALDH9A1	1	165631453	165668100	165668100
ALDOA	16	30064411	30081778	30064411
ALDOB	9	104182860	104198105	104198105
ALDOC	17	26900133	26904282	26904282
ALG1	16	5083703	5137380	5083961
ALG10	12	34175216	34182629	34175216
ALG10B	12	38710380	38717784	38710380
ALG11	13	52586534	52603800	52586534
ALG12	22	50293877	50312106	50312106
ALG13	X	110909043	111003877	110909043
ALG14	1	95439963	95538501	95538501
ALG1L	3	125648118	125655882	125655882
ALG2	9	101978708	101984238	101984238
ALG3	3	183960089	183967336	183967336
ALG5	13	37523912	37574398	37574398
ALG6	1	63833261	63904233	63833261
ALG8	11	77811982	77850706	77850706
ALG9	11	111652919	111742305	111742305
ALK	2	29415640	30144432	30144432
ALKBH1	14	78138747	78174363	78174363
ALKBH2	12	109525996	109531436	109531277
ALKBH3	11	43902361	43941816	43902361
ALKBH4	7	102096685	102105323	102105323
ALKBH5	17	18086392	18113268	18086392
ALKBH6	19	36500022	36505141	36505141
ALKBH7	19	6372444	6375042	6372444
ALKBH8	11	107373452	107436472	107436472
ALLC	2	3705785	3750261	3705785
ALMS1	2	73612886	73837920	73612886
ALOX12	17	6899384	6914055	6899384
ALOX12B	17	7975954	7991021	7991021
ALOX15	17	4534197	4545589	4545589
ALOX15B	17	7942335	7952452	7942335
ALOX5	10	45869661	45941561	45869661
ALOX5AP	13	31309645	31338556	31309645
ALOXE3	17	7999218	8022365	8022365
ALPI	2	233320833	233324742	233320833
ALPK1	4	113206665	113363776	113206665
ALPK2	18	56148479	56296189	56296189
ALPK3	15	85359911	85416713	85359911
ALPL	1	21835858	21904905	21835858
ALPP	2	233243244	233247599	233243244
ALPPL2	2	233271553	233275424	233271553
ALS2	2	202565277	202645912	202645912
ALS2CL	3	46710487	46735194	46735194
ALS2CR11	2	202352148	202483901	202483901
ALS2CR12	2	202152994	202222121	202222121
ALX1	12	85673885	85695562	85673885
ALX3	1	110602616	110613322	110613322
ALX4	11	44281994	44331716	44331716
ALYREF	17	79845713	79849462	79849462
AMACR	5	33986283	34008220	34008220
AMBN	4	71457973	71473005	71457973
AMBP	9	116822407	116840752	116840752
AMBRA1	11	46417964	46615675	46615675
AMD1	6	111195973	111216916	111195973
AMDHD1	12	96337071	96362370	96337071
AMDHD2	16	2570358	2581423	2570358
AMELX	X	11311533	11318881	11311533
AMELY	Y	6733959	6742068	6742068
AMER1	X	63404997	63425624	63425624
AMER2	13	25735822	25746426	25746426
AMER3	2	131513008	131525707	131513008
AMFR	16	56395364	56459450	56459450
AMH	19	2249308	2252072	2249308
AMHR2	12	53817639	53825318	53817639
AMICA1	11	118064455	118095809	118095809
AMIGO1	1	110046797	110052360	110052360
AMIGO2	12	47469490	47473734	47473734
AMIGO3	3	49754267	49761349	49761349
AMMECR1	X	109437414	109683461	109683461
AMMECR1L	2	128619204	128643496	128643496
AMN	14	103388993	103399933	103388993
AMN1	12	31824071	31882108	31882108
AMOT	X	112017731	112084043	112084043
AMOTL1	11	94439597	94609918	94439597
AMOTL2	3	134074716	134094321	134094321
AMPD1	1	115215719	115238239	115238239
AMPD2	1	110158726	110174673	110158726
AMPD3	11	10329860	10529126	10329860
AMPH	7	38423305	38671167	38671167
AMT	3	49454211	49460186	49460186
AMTN	4	71384257	71398459	71384257
AMY1A	1	104197912	104207173	104197912
AMY1B	1	104230037	104239302	104239302
AMY1C	1	104293028	104301312	104293028
AMY2A	1	104159999	104168402	104159999
AMY2B	1	104096437	104122156	104096437
AMZ1	7	2719156	2815134	2719156
AMZ2	17	66243715	66253297	66243715
ANAPC1	2	112523848	112642267	112642267
ANAPC10	4	145888264	146019693	146019693
ANAPC11	17	79848666	79858867	79848666
ANAPC13	3	134196548	134205558	134205558
ANAPC15	11	71817424	71823826	71823826
ANAPC16	10	73975787	73995618	73975787
ANAPC2	9	140069236	140082989	140082989
ANAPC4	4	25378835	25420120	25378835
ANAPC5	12	121746048	121837699	121837699
ANAPC7	12	110810705	110841535	110841535
ANG	14	21152336	21167130	21152336
ANGEL1	14	77253588	77292589	77292589
ANGEL2	1	213165524	213189168	213189168
ANGPT1	8	108261721	108510283	108510283
ANGPT2	8	6357172	6420930	6420930
ANGPT4	20	853296	896977	896977
ANGPTL1	1	178818840	178840187	178840187
ANGPTL2	9	129849611	129885162	129885162
ANGPTL3	1	63063158	63071830	63063158
ANGPTL4	19	8428173	8439257	8428173
ANGPTL5	11	101761405	101787253	101787253
ANGPTL6	19	10203014	10213472	10213472
ANGPTL7	1	11249398	11256038	11249398
ANHX	12	133794898	133812681	133812681
ANK1	8	41510739	41754280	41754280
ANK2	4	113739265	114304896	113739265
ANK3	10	61786056	62493248	62493248
ANKAR	2	190539016	190625919	190539016
ANKDD1A	15	65204101	65251042	65204101
ANKDD1B	5	74907284	74967671	74907284
ANKEF1	20	9966774	10037410	9966774
ANKFN1	17	54188319	54589020	54230832
ANKFY1	17	4067201	4167274	4167274
ANKH	5	14704910	14871887	14871887
ANKHD1	5	139781399	139929163	139781399
ANKHD1-EIF4EBP3	5	139781493	139929154	139781493
ANKIB1	7	91875548	92030698	91875548
ANKK1	11	113258513	113271140	113258513
ANKLE1	19	17392454	17398455	17392454
ANKLE2	12	133302254	133338474	133338474
ANKMY1	2	241418839	241508626	241508626
ANKMY2	7	16639401	16685442	16685442
ANKRA2	5	72848160	72861511	72861511
ANKRD1	10	92671853	92681033	92681033
ANKRD10	13	111530887	111567416	111567416
ANKRD11	16	89334038	89556969	89556969
ANKRD12	18	9136226	9285983	9136226
ANKRD13A	12	110436991	110477568	110436991
ANKRD13B	17	27916787	27941779	27916787
ANKRD13C	1	70726271	70820417	70820417
ANKRD13D	11	67056018	67069956	67056018
ANKRD16	10	5903580	5931869	5931869
ANKRD17	4	73939093	74124515	74124515
ANKRD18A	9	38540566	38620657	38620657
ANKRD18B	9	33524392	33573007	33524392
ANKRD2	10	99332198	99343641	99332198
ANKRD20A1	9	67926761	67969840	67926761
ANKRD20A2	9	42368303	42411410	42368303
ANKRD20A3	9	43064966	43133544	43133544
ANKRD20A4	9	69381812	69425560	69381812
ANKRD22	10	90581889	90611575	90611575
ANKRD23	2	97490263	97523671	97523671
ANKRD24	19	4183351	4224811	4183351
ANKRD26	10	27280843	27389421	27389421
ANKRD27	19	33087913	33167503	33167503
ANKRD28	3	15708743	15901278	15901278
ANKRD29	18	21178890	21242849	21242849
ANKRD30A	10	37414785	37673039	37414785
ANKRD30B	18	14728271	14852737	14728271
ANKRD30BL	2	132905164	133015542	133015542
ANKRD31	5	74364100	74532703	74532703
ANKRD32	5	93954052	94075141	93954052
ANKRD33	12	52281744	52285448	52281744
ANKRD33B	5	10564442	10650308	10564442
ANKRD34A	1	145470508	145475646	145470508
